gene_id,AKP_REP1,AKP_REP2,AKP_REP3,AKPE_REP1,AKPE_REP2,AKPE_REP3,AP_REP1,AP_REP2,AP_REP3
0610005C13Rik,0,3,0,0,0,0,3,0,3
0610007P14Rik,2019,1707,1911,1925,1893,1836,1656,1889,1593
0610009B22Rik,418,470,492,351,479,406,460,488,336
0610009L18Rik,2,9,5,7,2,6,4,10,19
0610009O20Rik,1145.954,1223,1382.629,1497,1696.989,1584.911,1419,1185,1232.832
0610010B08Rik,298.911,640.873,283.084,305.95,618.584,435.924,244.694,232.841,168.555
0610010F05Rik,1084,1139,1092,1361,1120,1020,817,919,1124
0610010K14Rik,922,1213.998,1043.001,936,1338.001,1014.999,1119,952,934.999
0610011F06Rik,1183,1151,1163,881,1315,1163,1573,1425,949
0610012G03Rik,1519,1616,1637,1111,1672,1445,1572,1618,1486
0610030E20Rik,779,710,817,783,688,736,978,493,522
0610031O16Rik,0,0,0,0,3,0,0,0,0
0610037L13Rik,329,437,395,425,519,361,325,459,418
0610038B21Rik,8.026,22.014,7,4.002,10.005,11.006,0,21.767,6.007
0610039H22Rik,0,2,0,0,0,1,1,0,2
0610039K10Rik,1,4,2,1,2,3,0,0,0
0610040B10Rik,9,6,2,9,7,13,3,7,8
0610040F04Rik,1.003,2,4,0,1,0,6.003,4.014,1
0610040J01Rik,1975,2557,2566,2657,3423,2688,2251,2431,2019
0610043K17Rik,0,2,0,0,1,0,2,0,3
1010001N08Rik,4,0,7,14,7,7,18,17,14
1110001J03Rik,358,415,376,227,448,402,405,345,335
1110002L01Rik,179.174,239.85,211.425,168.514,172.611,144.98,139.512,142.35,129.85
1110004E09Rik,2302,2525,2464,1714,2452,1855,1832,1910,2073
1110004F10Rik,2775,3198,3464,3498,4024,3326,2443,3333,3336
1110006O24Rik,14,18,40,19,30,17,17,13,18
1110007C09Rik,1187,918,1105,703,699,782,889,703,499
1110008F13Rik,4066.89,4522.202,4364.717,4081.209,5228.633,4132.212,2875.335,3834.352,3978.514
1110008L16Rik,700,567,722,735,830,742,629,642,643
1110008P14Rik,526,475,533,379,619,534,520,550,541
1110012L19Rik,335,321,310,268,360,337,302,407,341
1110015O18Rik,0,0,0,0,0,0,0,0,0
1110017D15Rik,1,0,0,0,0,0,0,2,0
1110019D14Rik,48,50,53,50,53,51,96,68,66
1110020A21Rik,8,6,10,11,6,7,12,7,3
1110025L11Rik,0,0,0,0,1,0,0,2,0
1110028F11Rik,176,73,50,184,197,89,144,245,370
1110028F18Rik,2,0,0,0,1,0,0,1,1
1110032A03Rik,130,110,119,84,134,145,153,139,111
1110032F04Rik,0,0,0,1,1,0,0,0,0
1110034G24Rik,40,58,52,63,96,69,94,78,73
1110036E04Rik,0,0,0,0,0,2,0,0,0
1110037F02Rik,2128,1871,1999,2429,2179,1752,1865,1516,1836
1110038B12Rik,932,1005,1130,567,1161,1092,1044,915,964
1110038F14Rik,666,699,643,638,690,648,505,624,562
1110046J04Rik,1,1,0,4,5,6,10,7,1
1110051M20Rik,89,164,174,236,342,215,234,217,215
1110058D11Rik,0,0,0,0,0,0,0,0,0
1110059E24Rik,1115,1166,1196,1051,1229,1049,1266,1223,1013
1110059G10Rik,325,310,333,303,352,339,323,367,281
1110065P20Rik,381.449,432.79,448.643,391.95,586.02,455.528,406.696,377.452,425.36
1190002F15Rik,139,172,156,99,153,168,137,79,63
1190002N15Rik,1623,1842,2084,1866,1970,1478,1098,970,842
1190003K10Rik,0,0,0,0,0,0,0,0,0
1190005I06Rik,41.578,63.38,115.439,58.872,101.57,29.593,1.809,7.04,18.051
1190007I07Rik,393.999,430,396.999,238,472.239,411,428,400,300
1200014J11Rik,1754,1743,1752,1815,1966,1669,1455,1344,1549
1300002E11Rik,143,140,139,177,221,155,213,158,172
1300017J02Rik,1,0,0,0,1,0,0,1,2
1500004A13Rik,72.015,51.038,57.357,80.099,81.12,59.186,23.094,40.085,51.118
1500009C09Rik,0,0,0,0,0,0,3,1,3
1500009L16Rik,14,30,15,25,44,11,60,50,41
1500011B03Rik,181,215,274,270,212.209,241,157,161,161
1500011K16Rik,547,613,464,254,442,432,617,517,392
1500012F01Rik,1051,1107,1159,689,1293,1099,1693,1507,1103
1500012K07Rik,0,0,0,0,0,0,0,0,0
1500015A07Rik,61,74,51,106,108,86,106,66,97
1500015L24Rik,24,15,16,20,24,20,4,3,6
1500015O10Rik,0,1,0,0,0,0,0,0,0
1500017E21Rik,0,0,0,2,0,0,0,0,0
1500026H17Rik,7,3,8,0,3,14,14,3,0
1600002D24Rik,0,0,0,0,1,2,2,0,0
1600002H07Rik,550,511,450,442,503,456,403,462,384
1600002K03Rik,207,235,199,205,312,226,136,266,219
1600010M07Rik,0,0,0,0,0,0,0,0,0
1600012H06Rik,705.003,606.231,726.265,627.113,607.332,577.694,756.751,761.021,686.269
1600014C10Rik,548,516,550,466,452,398,394,370,469
1600014C23Rik,0,1,1,0,1,0,11,3,0
1600014K23Rik,0,0,0,0,1,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0
1600020E01Rik,26,25,36,17,32,33,28,40,12
1600023N17Rik,8,7,4,1,8,6,9,10,2
1600025M17Rik,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0,0
1600029I14Rik,0,0,0,0,0,0,0,0,0
1600029O15Rik,0,0,0,0,0,0,0,0,0
1700001C02Rik,0,0,0,0,0,0,0,0,0
1700001C19Rik,4,3,1.001,1.001,0,1,4,1,1
1700001D01Rik,0,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0
1700001G11Rik,2,6,11,2,9,2,6,1,3
1700001G17Rik,9,15,3,7,10,17,5,9,7
1700001J03Rik,0,1,1,0,0,0,0,0,0
1700001J11Rik,0,0,0,0,0,0,0,0,0
1700001K19Rik,0,0,0,1,0,0,0,0,0
1700001K23Rik,0,0,0,0,0,0,0,0,0
1700001L05Rik,127,280,241,318,690,338,392,686,180
1700001L19Rik,1,0,0,1,0,0,0,1,0
1700001O22Rik,96,131,151,186,156,181,308,269,91
1700001P01Rik,1,0,0,1,0,0,1,1,0
1700003C15Rik,0,0,0,0,0,0,0,0,0
1700003D09Rik,20,7,13,17,21,18,12,9,11
1700003E16Rik,26,24,20,9,37,16,24,26,38
1700003E24Rik,0,0,0,0,0,0,0,0,0
1700003F12Rik,0,0,0,5,4,0,4,0,1
1700003G13Rik,1,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,1,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0
1700003M02Rik,1,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,0,1,0,0,3,3,3
1700003P14Rik,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0
1700007B14Rik,0,0,0,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0,0
1700007G11Rik,0,0,0,0,0,0,0,0,0
1700007J10Rik,0,1,0,1,0,0,0,0,0
1700007K09Rik,0,2,2,0,0,0,2,0,0
1700007K13Rik,0,0,0,0,0,4,80,51,121
1700007L15Rik,71,102,83,87,86,69,55,64,52
1700007P06Rik,0,0,0,0,0,0,0,0,0
1700008C04Rik,0,0,0,0,0,0,0,0,0
1700008J07Rik,50.312,79.95,84.691,84.675,90.063,75.908,49.509,76.287,74.793
1700008K24Rik,0,0,0,0,0,0,0,0,0
1700008O03Rik,1,0,0,0,1,1,0,4,3
1700008P02Rik,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,1,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0,0
1700010I14Rik,0,0,0,9,5,3,19,22,19
1700010J16Rik,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0
1700011A15Rik,4,2,1,2,3,2,2,3,6
1700011B04Rik,0,1,0,0,1,0,0,0,0
1700011C11Rik,1,0,0,0,2,0,1,0,0
1700011E24Rik,0,0,0,1,0,0,0,0,0
1700011H14Rik,1,0,0,1,2,0,1,1,6
1700011I03Rik,0,0,0,0,0,0,0,0,0
1700011L22Rik,2,0,0,0,0,2,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0,0,0
1700012B09Rik,0,0,0,0,0,0,0,0,0
1700012C14Rik,1,0,0,0,0,0,0,1,0
1700012D01Rik,17,9,14,8,12,1,23,10,7
1700012D14Rik,4,0,2,0,0,0,0,0,1
1700012D16Rik,0,0,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0,0
1700012L04Rik,0,3,7,0,3,0,3,4,0
1700012P22Rik,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0
1700013F07Rik,0,0,0,0,0,1,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,3,0,0,0,0
1700015E13Rik,0,0,0,0,0,0,0,0,0
1700015F17Rik,0,0,0,1,0,0,0,0,1
1700015G11Rik,0,0,0,0,0,0,0,0,0
1700016C15Rik,8,6,24,2,5,13,78,10,6
1700016D06Rik,0,0,0,0,0,0,0,0,0
1700016G22Rik,0,0,0,0,0,0,0,1,2
1700016H13Rik,0,0,1,0,2,2,2,0,4
1700016K19Rik,65,104,43,28,120,42,83,89,46
1700016L04Rik,0,0,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0,0
1700017B05Rik,1519,1776,2023,2277,2699,2142,1930,2427,3029
1700017D01Rik,0,0,0,0,0,0,0,0,0
1700017G19Rik,0,0,0,0,0,2,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,1,0,0
1700018B08Rik,1,0,0,0,0,0,0,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0
1700018C11Rik,0,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0,0,0
1700018L02Rik,141.923,91.293,96.638,135.724,110.409,77.219,123.859,131.42,62.416
1700019A02Rik,0,0,0,0,0,0,0,0,0
1700019B03Rik,0,0,0,1,0,0,3,0,0
1700019B21Rik,0,0,0,0,0,0,0,1,0
1700019C18Rik,0,0,0,0,0,0,0,0,0
1700019D03Rik,8,19,34,29,38,41,44,32,2
1700019E08Rik,0,0,0,0,0,0,0,0,0
1700019G17Rik,65,77,175,156.923,100,257,134,153,184
1700019G24Rik,0,0,0,0,0,0,0,0,0
1700019L03Rik,3,0,3,2,0,0,1,0,1
1700019M22Rik,0,0,0,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,1,0,0,0,0
1700019O17Rik,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0
1700020D05Rik,1,1,0,1,0,0,2,0,0
1700020D14Rik,0,0,0,0,0,0,0,0,0
1700020G17Rik,0,0,0,0,0,0,0,0,0
1700020I14Rik,924,756,830,1019,861,837,852,762,625
1700020L24Rik,78,38,16,26,26,14,21,7,5
1700020M21Rik,0,0,0,0,0,0,0,0,0
1700020N01Rik,1,0,0,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,3,0,1
1700021F05Rik,549,609,614,541,676,613,564,573,530
1700021F07Rik,0,0,0,0,0,0,0,0,0
1700021K19Rik,1456,1418,1705,1452,1954,1571,1967,1654,1613
1700021N21Rik,0,0,0,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0,0
1700022H01Rik,0,0,1,0,0,0,1,0,0
1700022H16Rik,0,0,0,0,0,0,0,0,0
1700022I11Rik,2,0,0,0,0,1,0,0,0
1700023C21Rik,0,0,0,0,0,0,0,0,0
1700023F02Rik,0,0,0,0,0,0,0,0,0
1700023F06Rik,0,0,0,4,2,0,1,8,2
1700024B18Rik,0,0,0,0,0,0,0,0,0
1700024F13Rik,3,2,4,8,16,3,3,3,6
1700024G13Rik,0,0,0,0,0,0,0,0,0
1700024I08Rik,0,0,0,0,0,0,0,0,0
1700024N05Rik,0,0,0,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0,0,0,0
1700024P16Rik,0,0,4,1,0,1,38,21,7
1700025B11Rik,0,0,0,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0,0
1700025G04Rik,467,613,574,297,377,304,322,277,167
1700025J12Rik,0,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0,0
1700025N23Rik,0,0,0,0,0,0,0,0,0
1700026D08Rik,0,0,3,0,1,0,0,1,1
1700026D11Rik,0,0,0,0,0,0,0,0,0
1700026F02Rik,0,0,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0,0,0,0
1700026L06Rik,1,5,2,0,2,0,1,1,0
1700027A15Rik,0,0,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,1,0
1700027H10Rik,0,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,0,0,0,0,0
1700028B04Rik,0,0,0,0,0,0,0,0,0
1700028D13Rik,0,0,0,0,0,0,0,0,0
1700028E10Rik,0,1,5,2,1,2,6,0,0
1700028I16Rik,0,0,0,0,0,0,0,0,0
1700028J19Rik,2,5,6,12,9,3,14,10,6
1700028K03Rik,5,2,4,25,8,5,4,2,2
1700028M03Rik,0,0,0,0,0,0,0,0,0
1700028P14Rik,0,0,0,0,0,0,0,0,0
1700028P15Rik,0,0,0,0,0,0,0,0,0
1700029B22Rik,0,0,0,0,0,0,0,0,0
1700029F12Rik,0,1,0,0,4,2,0,0,1
1700029H14Rik,1,0,0,0,0,0,0,0,0
1700029I15Rik,0,0,0,0,2,0,0,0,0
1700029J03Rik,0,0,2,0,0,0,0,0,0
1700029J07Rik,17,8,13,7,22,22,59,27,16
1700029M20Rik,0,0,0,0,0,0,0,1,0
1700029N11Rik,0,0,0,0,0,0,0,0,0
1700029P11Rik,0,0,0,0,2,0,0,0,0
1700030A11Rik,0,0,0,0,0,0,0,0,0
1700030C10Rik,137,157,163,176,200,184,111,172,80
1700030F04Rik,0,0,0,0,0,0,0,0,0
1700030F18Rik,0,0,0,0,0,0,0,0,0
1700030J22Rik,26,37,31,16,44,54,47,28,32
1700030K09Rik,186,174,266,153,197,266,199,138,162
1700030L20Rik,0,0,0,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0,0,0,0
1700030N03Rik,0,0,0,0,0,0,0,0,0
1700030O20Rik,0,0,0,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0,0,0,0
1700031P21Rik,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0,0,0,0
1700034H15Rik,20.609,18.553,13.733,21.675,1.451,23.944,14.271,0,4.961
1700034I23Rik,2,0,1,0,0,0,1,0,0
1700034J05Rik,0,0,0,0,1,0,0,0,0
1700034K08Rik,0,0,0,0,0,0,0,0,0
1700034O15Rik,0,0,0,0,0,0,0,0,0
1700034P13Rik,43.368,29.538,45.894,12.429,15.325,29.377,19.79,15.43,54.891
1700036G14Rik,0,0,0,0,0,0,0,0,0
1700037C18Rik,81,97,71,58,107,80,70,115,76
1700037H04Rik,0,1117,1461,0,1302,1355,1595,1309,1098
1700039E15Rik,0,0,0,0,0,0,0,0,0
1700039E22Rik,0,0,0,0,0,0,0,0,0
1700040L02Rik,0,2,0,0,10,0,1,2,3
1700041A01Rik,0,0,0,0,0,0,0,0,0
1700041C23Rik,0,0,0,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0,0,0,0
1700042O10Rik,0,0,0,0,0,0,0,0,0
1700044C05Rik,0,0,0,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0,0,0,0
1700047A11Rik,0,0,0,0,0,0,0,0,0
1700047E10Rik,0,0,0,0,0,0,0,0,0
1700047G03Rik,0,0,0,0,0,0,0,0,0
1700047I17Rik2,979.591,904.11,1138.869,750.668,770.318,818,796.383,837.771,1396.304
1700047L14Rik,0,0,0,0,0,0,0,0,0
1700047M11Rik,0,0,0,0,0,0,0,0,0
1700048M11Rik,0,1,0,0,0,0,2,0,0
1700048O20Rik,6,0,0,4,0,0,0,2,1
1700049E15Rik,0,0,0,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0,0,0,0
1700049G17Rik,99.115,62.005,115.506,106.166,125.694,112.014,157.267,81.051,62.7
1700049L16Rik,0,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0,0,0,0
1700052K11Rik,137.816,166,102,143,164,101,107,118.018,130
1700054A03Rik,0,0,1,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0,0,0,0
1700055C04Rik,0,0,0,0,0,0,0,0,0
1700056E22Rik,14,5,13,14,25,19,50,38,44
1700057G04Rik,0,0,0,0,0,0,0,0,0
1700057H15Rik,0,0,0,0,0,0,0,0,0
1700057H21Rik,0,0,0,0,0,0,0,0,0
1700060C16Rik,0,0,0,0,0,0,0,0,0
1700060C20Rik,0,0,0,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0,0,0,0
1700061G19Rik,7,6,21,6,13,13,3,2,2
1700061I17Rik,2,1,0,0,0,0,0,1,2
1700061J23Rik,0,0,0,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0,0,0,0
1700063D05Rik,0,0,0,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,0,0,0,0,0,0,0
1700065D16Rik,1,1,2,0,0,2,1,0,0
1700065I16Rik,0,0,0,0,0,0,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0,0,0
1700065L07Rik,0,0,0,0,0,0,0,0,0
1700065O20Rik,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0
1700066B19Rik,1768,2032,1526,1681,2051,1494,1638,1980,1471
1700066J03Rik,0,0,0,0,0,0,0,0,0
1700066M21Rik,641,511,652,606,532,567,456,447,448
1700066N21Rik,0,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,0,0,0,0,0,0,0
1700067G17Rik,0,0,0,0,0,0,0,0,0
1700067K01Rik,3,11,5,53,71,25,8,4,21
1700067P10Rik,0,0,0,0,0,0,0,0,0
1700069L16Rik,0,0,2,0,0,0,0,0,0
1700069P05Rik,0,0,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0,0,0
1700071M16Rik,2,0,0,0,0,0,0,0,0
1700072B07Rik,0,0,0,0,0,0,0,0,0
1700072I22Rik,0,0,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0,0,0
1700073E17Rik,0,0,0,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,0,0,0,0,0
1700074P13Rik,0,0,0,0,0,0,0,0,0
1700080E11Rik,0,0,0,0,0,0,0,0,0
1700080N15Rik,0,0,0,0,0,0,0,0,0
1700080O16Rik,0,2,0,0,0,0,0,0,0
1700081H04Rik,0,0,0,0,0,0,0,1,0
1700084C01Rik,0,0,0,0,0,0,0,0,0
1700084D21Rik,0,0,0,0,0,0,0,0,0
1700084E18Rik,9,8,13,1,9,14,19,4,4
1700084F23Rik,0,0,0,0,0,0,0,0,0
1700084J12Rik,0,0,0,0,0,0,0,0,0
1700084M14Rik,0,0,0,0,0,0,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,0,0
1700086L19Rik,0,0,0,0,1,3,0,1,0
1700086O06Rik,36.046,67,89.371,92,95.011,101.088,36.001,56.999,69.167
1700088E04Rik,14.351,17.713,17.42,27.098,14.926,37.512,37.957,37.97,21.604
1700091H14Rik,0,0,0,0,0,0,0,0,0
1700092C02Rik,0,0,0,0,0,0,0,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0
1700092K14Rik,0,0,0,0,0,0,0,0,0
1700092M07Rik,1,0,0,2,1,0,1,2,0
1700093K21Rik,0,3,0,0,1,0,1,1,0
1700094D03Rik,48,25,45,65,36,41,43,31,25
1700094J05Rik,0,0,0,0,0,0,0,0,1
1700094M24Rik,0,0,0,0,0,1,1,0,0
1700095A21Rik,0,0,0,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0,0,0,0
1700095J12Rik,0,0,0,0,0,0,0,0,0
1700096J18Rik,0,0,0,0,0,0,0,0,0
1700096K18Rik,38,47,46,29,48,44,90,80,24
1700096P03Rik,0,0,0,0,0,0,0,0,0
1700097N02Rik,7,17,28,8,70,86,36.512,23,13
1700099I09Rik,0,0,0,0,0,0,0,0,0
1700100I10Rik,0,0,0,0,0,0,0,0,0
1700100L14Rik,0,0,0,0,0,0,0,0,0
1700101E01Rik,2,0,0,0,1,0,2,1,1
1700101I11Rik,1,1,0,0,0,0,2,0,0
1700101O22Rik,0,0,0,0,0,0,0,0,0
1700102H20Rik,2,3,5,0,4,4,3,0,0
1700102P08Rik,1,3,0,4,2,1,0,1,6
1700104L18Rik,0,0,0,0,0,0,0,0,0
1700105P06Rik,0,0,0,0,0,1,0,0,0
1700106J16Rik,0,0,0,0,0,0,0,0,0
1700108F19Rik,0,0,1,0,2,0,0,0,0
1700108J01Rik,0,0,0,0,0,0,0,0,0
1700109G14Rik,0,0,0,0,0,0,0,0,0
1700109G15Rik,0,0,0,0,0,0,0,0,0
1700109H08Rik,0,0,3,0,2,0,0,1,0
1700109I08Rik,0,0,0,0,0,0,0,0,0
1700109K24Rik,1,0,0,3,3,3,7,1,1
1700110C19Rik,0,0,0,0,0,0,0,0,0
1700110I01Rik,0,0,0,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,0,0,0,0,0
1700110K17Rik,0,0,0,0,1,0,0,0,0
1700111N16Rik,0,0,0,0,0,0,0,0,0
1700112E06Rik,0,0,1,0,0,1,1,1,0
1700112H15Rik,0,0,0,0,0,0,0,0,0
1700112J05Rik,0,0,0,0,0,0,0,0,0
1700112J16Rik,0,0,0,0,1,0,2,1,0
1700113A16Rik,78,78,82,57,88,81,90,67,62
1700113B09Rik,0,0,0,0,0,0,0,0,0
1700113H08Rik,0,0,0,0,0,0,0,0,0
1700116B05Rik,0,0,0,0,0,0,0,0,0
1700119H24Rik,0,0,0,0,0,0,0,0,0
1700120C14Rik,4,1,1,0,1,1,4,0,2
1700120E14Rik,0,0,0,0,0,0,0,0,0
1700120G07Rik,0,0,0,0,0,0,0,0,0
1700120K04Rik,3,1,9,9,4,3,6,4,0
1700121L16Rik,0,0,0,0,0,0,0,0,0
1700121N20Rik,0,0,0,0,0,0,0,0,0
1700122C19Rik,0,0,0,0,0,0,0,0,0
1700122O11Rik,0,1,0,0,0,3,0,1,1
1700123I01Rik,0,0,0,0,0,0,0,0,0
1700123J17Rik,0,0,0,0,0,0,0,0,0
1700123K08Rik,0,0,0,0,0,0,0,0,0
1700123L14Rik,0,0,0,0,0,0,0,0,0
1700123M08Rik,11,13,21,11,15,12,27,9,11
1700123O12Rik,0,0,0,0,0,0,0,0,0
1700123O20Rik,942.937,973.153,864.131,946.048,1112.603,867.786,829.815,904.898,851.393
1700123O21Rik,0,0,0,0,0,0,0,0,0
1700124L16Rik,0,0,1,0,2,0,0,0,2
1700125G02Rik,0,0,0,0,0,0,0,0,0
1700125G22Rik,1,0,1,0,0,0,0,0,0
1700125H03Rik,0,0,0,0,0,0,0,0,0
1700125H20Rik,3,3,4,3,7,1,3,0,0
1700126H18Rik,0,0,0,0,0,0,0,0,0
1700128A07Rik,0,0,0,0,0,0,0,0,0
1700128F08Rik,0,0,0,0,0,0,0,0,0
1700129C05Rik,0,0,0,0,0,0,0,0,0
1810006J02Rik,0,0,0,0,0,0,0,0,0
1810007C17Rik,0,0,0,0,0,0,0,0,0
1810007D17Rik,0,0,0,0,0,0,0,0,0
1810008I18Rik,107,130,86,85,98,88,146,79,63
1810009A15Rik,2091,2318,2038,1912,2334,1723,1279,1912,1742
1810009J06Rik,0,0,0,0,0,0,0,0,0
1810010D01Rik,0,0,0,0,1,0,0,0,0
1810010H24Rik,16,15,6,7,13,7,32,25,14
1810011H11Rik,0,0,0,0,0,0,0,0,0
1810011O10Rik,185,143,374,584,459,1100,879,716,484
1810012K16Rik,0,0,0,0,0,3,0,0,2
1810013A23Rik,1,0,2,1,0,1,0,0,1
1810013L24Rik,1165,1036,1180,1148,895,1089,1151,815,861
1810014B01Rik,93,131,102,121,125.76,118,85,91,100
1810018F18Rik,0,0,0,0,0,0,0,0,0
1810019D21Rik,91.205,90,105,145,141,154,153.457,86,124
1810020O05Rik,0,0,0,0,3,0,0,1,0
1810021B22Rik,0,0,0,1,3,0,8,2,0
1810022K09Rik,1158,1158,1256,1048,1301,995,729,1383,1039
1810024B03Rik,0,0,1,0,0,0,0,0,0
1810026B05Rik,240.998,269.237,333.682,285.603,289.47,255.108,285.668,292.313,253.159
1810026J23Rik,1691,1601,1898,1714,1895,1697,1104,1367,1587
1810030O07Rik,983,1008,1135,1014,1099,960,1063,1154,987
1810032O08Rik,414,366.001,353,393,403.999,297,242.001,375,304.001
1810034E14Rik,6,14,13,14,14,23,8,7,12
1810037I17Rik,2288,2074,2129,1337,2143,1673,2724,2286,1621
1810041H14Rik,0,0,0,0,2,1,0,1,0
1810041L15Rik,2,0,2,2,1,7,8,11,0
1810043G02Rik,145,161,182,174,207,212,194,202,195
1810043H04Rik,451,458,479,325,564,387,474,477,446
1810044D09Rik,53,39,47,36,49,46,59,86,31
1810046K07Rik,0,0,0,3,3,6,7,1,3
1810053B23Rik,0,0,0,0,0,0,0,0,0
1810055G02Rik,1462,1220,1574,1244,1038,920,471,650,923
1810058I24Rik,655,523,535,793,801,660,504,561,585
1810062G17Rik,31,25,47,18,28,22,12,24,9
1810062O18Rik,0,3,2,1,0,0,0,3,3
1810063I02Rik,0,0,0,0,0,0,0,0,0
1810064F22Rik,0,0,2,4,2,0,17,7,12
1810065E05Rik,0,1,0,0,0,2,0,0,1
